Run #, RV_column1, RV_column2, RV_column3, RV_column4, RV_column5, RV_column6, gamma, kappa, eta1, sig, lam, mup, sigp, rsmax, alpha, alpha1, alpha2, betam1, n, kappa_k, res_min, gamma.median, kappa.median, eta1.median, sig.median, lam.median, mup.median, sigp.median, rsmax.median, alpha.median, alpha1.median, alpha2.median, betam1.median, n.median, kappa_k.median, res_min.median, gamma.q5, kappa.q5, eta1.q5, sig.q5, lam.q5, mup.q5, sigp.q5, rsmax.q5, alpha.q5, alpha1.q5, alpha2.q5, betam1.q5, n.q5, kappa_k.q5, res_min.q5, gamma.q95, kappa.q95, eta1.q95, sig.q95, lam.q95, mup.q95, sigp.q95, rsmax.q95, alpha.q95, alpha1.q95, alpha2.q95, betam1.q95, n.q95, kappa_k.q95, res_min.q95, gamma.var, kappa.var, eta1.var, sig.var, lam.var, mup.var, sigp.var, rsmax.var, alpha.var, alpha1.var, alpha2.var, betam1.var, n.var, kappa_k.var, res_min.var, gamma.q5_w_mnoise, kappa.q5_w_mnoise, eta1.q5_w_mnoise, sig.q5_w_mnoise, lam.q5_w_mnoise, mup.q5_w_mnoise, sigp.q5_w_mnoise, rsmax.q5_w_mnoise, alpha.q5_w_mnoise, alpha1.q5_w_mnoise, alpha2.q5_w_mnoise, betam1.q5_w_mnoise, n.q5_w_mnoise, kappa_k.q5_w_mnoise, res_min.q5_w_mnoise, gamma.q95_w_mnoise, kappa.q95_w_mnoise, eta1.q95_w_mnoise, sig.q95_w_mnoise, lam.q95_w_mnoise, mup.q95_w_mnoise, sigp.q95_w_mnoise, rsmax.q95_w_mnoise, alpha.q95_w_mnoise, alpha1.q95_w_mnoise, alpha2.q95_w_mnoise, betam1.q95_w_mnoise, n.q95_w_mnoise, kappa_k.q95_w_mnoise, res_min.q95_w_mnoise, gamma.var_w_mnoise, kappa.var_w_mnoise, eta1.var_w_mnoise, sig.var_w_mnoise, lam.var_w_mnoise, mup.var_w_mnoise, sigp.var_w_mnoise, rsmax.var_w_mnoise, alpha.var_w_mnoise, alpha1.var_w_mnoise, alpha2.var_w_mnoise, betam1.var_w_mnoise, n.var_w_mnoise, kappa_k.var_w_mnoise, res_min.var_w_mnoise
1, 1.5, 0.48783, 0.05404, 0.09989, 0.83333, 1.3517, 0.32323, 1.0317, 0.92638, 0.14396, 0.09301, 2.0667, 1.2362, 0.7095, 0.00192, 4.0389, 0.07557, 0.04766, 3.5821, 0.18124, 0.03535, 0.23292, 1.0429, 1.341, 0.15739, 0.20787, 2.4414, 1.9675, 0.86264, 0.0043747, 7.5528, 0.86227, 0.02272, 3.1152, 1.1037, 0.056284, -0.12718, 1.0429, 1.3409, 0.057885, 0.20768, 2.4408, 1.9652, 0.86255, 0.0043653, 2.0469, 0.86161, 0.016757, 0.9976, -0.020401, 0.056273, 0.59303, 1.0429, 1.3411, 0.25689, 0.20806, 2.4419, 1.9698, 0.86272, 0.0043841, 13.059, 0.86294, 0.028684, 5.2328, 2.2278, 0.056295, 0.04793, 2.8484e-11, 3.0606e-09, 0.0036595, 1.3202e-08, 1.1835e-07, 1.9364e-06, 2.6232e-09, 3.2534e-11, 11.205, 1.6401e-07, 1.3144e-05, 1.6574, 0.46703, 4.4286e-11, -0.27578, 0.95214, 0.72382, -0.070155, -0.083735, -0.61332, -0.90713, 0.50999, -0.010089, 1.8236, -0.10762, -0.0019808, 0.46596, -0.39186, 0.031222, 0.74163, 1.1337, 1.9582, 0.38493, 0.49947, 5.4961, 4.8422, 1.2153, 0.018838, 13.282, 1.8322, 0.047422, 5.7644, 2.5992, 0.081346, 0.095648, 0.0030462, 0.14079, 0.019137, 0.031429, 3.4489, 3.0543, 0.045966, 7.7321e-05, 12.132, 0.34769, 0.00022552, 2.5941, 0.8267, 0.00023215
2, 1.9912, 0.69368, 0.1529, 0.14806, 0.59055, 0.71532, 1.2623, 1.0776, 1.803, 0.40894, 0.5592, 0.48774, 0.46421, 0.95278, 0.00093, 5.5612, 1.6885, 0.00505, 3.5875, 0.38922, 0.041, 0.66467, 1.0518, 1.3254, 0.11028, 0.21428, 1.7072, 0.49021, 0.98909, -2.4661e-05, 8.5163, 0.93195, 0.018078, 3.8814, 0.69279, 0.051668, -0.21611, 1.0518, 1.3254, -0.068819, 0.21409, 1.7066, 0.48792, 0.989, -3.4043e-05, 1.0008, 0.93128, 0.011895, 1.1938, -0.86266, 0.051658, 1.5454, 1.0518, 1.3255, 0.28938, 0.21447, 1.7078, 0.4925, 0.98917, -1.5279e-05, 16.032, 0.93261, 0.024262, 6.5691, 2.2482, 0.051679, 0.28674, 2.8484e-11, 3.0606e-09, 0.011856, 1.3202e-08, 1.1835e-07, 1.9364e-06, 2.6232e-09, 3.2534e-11, 20.876, 1.6401e-07, 1.4134e-05, 2.6698, 0.89425, 4.4286e-11, -0.28659, 0.96098, 0.70828, -0.16166, -0.063685, -1.3475, -2.5267, 0.63644, -0.014488, 0.83035, 0.028201, -0.006677, 0.75774, -1.1491, 0.026607, 1.6159, 1.1425, 1.9426, 0.38222, 0.49225, 4.7619, 3.5071, 1.3417, 0.014439, 16.202, 1.8357, 0.042834, 7.0052, 2.5347, 0.07673, 0.33445, 0.0030462, 0.14079, 0.027333, 0.028558, 3.4489, 3.3641, 0.045966, 7.7321e-05, 21.834, 0.30188, 0.00022651, 3.6065, 1.2539, 0.00023215
3, 2, 0.44862, 0.03727, 0, 1.1111, 1.1928, 0.17854, 1.0277, 1.7032, 0.02947, 0.09528, 1.9833, 1.4707, 0.73324, 0.01883, 3.454, 0.04084, 0.02937, 2.221, 0.26556, 0.03909, 0.63866, 1.0268, 1.3592, 0.16752, 0.20097, 2.6294, 2.2353, 0.85513, 0.0078088, 7.1088, 0.88832, 0.023878, 3.0675, 0.53711, 0.054295, 0.33346, 1.0268, 1.3592, 0.087184, 0.20079, 2.6289, 2.233, 0.85505, 0.0077994, 4.4226, 0.88766, 0.018353, 1.7249, -0.08703, 0.054284, 0.94385, 1.0268, 1.3593, 0.24786, 0.20116, 2.63, 2.2376, 0.85521, 0.0078182, 9.7951, 0.88899, 0.029403, 4.4101, 1.1613, 0.054306, 0.034427, 2.8484e-11, 3.0606e-09, 0.0023854, 1.3202e-08, 1.1835e-07, 1.9364e-06, 2.6232e-09, 3.2534e-11, 2.6671, 1.6401e-07, 1.1283e-05, 0.66623, 0.14398, 4.4286e-11, 0.16723, 0.936, 0.74208, -0.052318, -0.076371, -0.42526, -0.78275, 0.50248, -0.0066548, 3.977, -0.015126, -0.00072136, 0.98501, -0.63021, 0.029233, 1.1101, 1.1176, 1.9764, 0.38736, 0.47832, 5.6841, 5.2534, 1.2078, 0.022272, 10.241, 1.7918, 0.048477, 5.15, 1.7044, 0.079357, 0.082146, 0.0030462, 0.14079, 0.017863, 0.028431, 3.4489, 3.3667, 0.045966, 7.7321e-05, 3.6252, 0.30169, 0.00022366, 1.6029, 0.50365, 0.00023215
4, 2, 0.38541, 0.04244, 0.10002, 0.83333, 0.98555, 0.20516, 1.0764, 1.3249, 0.43952, 0.29568, 1.5072, 0.80097, 0.82841, 0.00013, 7.9011, 1.8402, 0.00415, 1.0302, 1.4668, 0.06281, 0.52811, 1.0266, 1.4041, 0.2251, 0.23763, 2.1262, 1.9405, 0.81257, 0.0080794, 2.7032, 0.84212, 0.021906, 3.1456, 0.40613, 0.059217, 0.24302, 1.0266, 1.404, 0.15109, 0.23744, 2.1257, 1.9382, 0.81248, 0.00807, -0.25935, 0.84146, 0.016324, 1.7622, -0.22827, 0.059206, 0.81321, 1.0267, 1.4042, 0.29911, 0.23782, 2.1268, 1.9428, 0.81265, 0.0080888, 5.6658, 0.84279, 0.027488, 4.5289, 1.0405, 0.059228, 0.030042, 2.8484e-11, 3.0606e-09, 0.0020244, 1.3202e-08, 1.1835e-07, 1.9364e-06, 2.6232e-09, 3.2534e-11, 3.244, 1.6401e-07, 1.1516e-05, 0.70732, 0.14875, 4.4286e-11, 0.069433, 0.93586, 0.78697, 0.0074956, -0.06544, -0.92846, -0.82687, 0.45992, -0.0063842, -0.64691, -0.17338, -0.0027058, 1.0365, -0.7667, 0.034155, 0.98679, 1.1174, 2.0213, 0.44271, 0.5407, 5.1809, 4.7079, 1.1652, 0.022543, 6.0533, 1.8576, 0.046518, 5.2546, 1.579, 0.084279, 0.077761, 0.0030462, 0.14079, 0.017502, 0.033949, 3.4489, 2.8307, 0.045966, 7.7321e-05, 4.1483, 0.38116, 0.00022389, 1.644, 0.50842, 0.00023215
5, 1.4992, 0.0801, 0.01666, 0.05737, 1.9844, 0.55652, 0.99605, 1.0185, 0.6666, 0.36728, 0.12933, 0.96556, 0.78901, 0.66703, 0.00318, 2.3292, 1.998, 0.00272, 2.2582, 0.38454, 0.06665, 1.0642, 1.065, 1.1983, 0.31749, 0.28236, 1.8674, 0.55934, 0.77957, 0.014685, 2.8275, 0.89813, 0.019274, 3.8742, -0.010015, 0.059003, 0.54298, 1.065, 1.1982, 0.18812, 0.28218, 1.8668, 0.55705, 0.77949, 0.014676, -4.2238, 0.89747, 0.013134, 1.3055, -1.4334, 0.058992, 1.5855, 1.065, 1.1984, 0.44686, 0.28255, 1.868, 0.56162, 0.77966, 0.014695, 9.8787, 0.8988, 0.025414, 6.443, 1.4134, 0.059014, 0.10043, 2.8484e-11, 3.0606e-09, 0.0061861, 1.3202e-08, 1.1835e-07, 1.9364e-06, 2.6232e-09, 3.2534e-11, 18.377, 1.6401e-07, 1.3934e-05, 2.439, 0.74882, 4.4286e-11, 0.43113, 0.97418, 0.58109, 0.07539, 0.0046023, -1.1873, -2.4607, 0.42692, 0.00022172, -4.4054, -0.0046357, -0.0054702, 0.85216, -1.7418, 0.033941, 1.6973, 1.1557, 1.8154, 0.55959, 0.56013, 4.9221, 3.5793, 1.1322, 0.029149, 10.06, 1.8009, 0.044019, 6.8963, 1.7218, 0.084065, 0.14814, 0.0030462, 0.14079, 0.021664, 0.028516, 3.4489, 3.371, 0.045966, 7.7321e-05, 19.336, 0.30123, 0.00022631, 3.3757, 1.1085, 0.00023215
6, 2.5, 0.40676, 0.02239, 0.09999, 1.6667, 1.2244, 0.27604, 1.0993, 1.0333, 0.13156, 0.08957, 5.7613, 6.7531, 0.96533, 4e-05, 1.6708, 0.37848, 0.00531, 1.8544, 2.0371, 0.04489, 0.32137, 1.0051, 1.5075, 0.27483, 0.22612, 2.6089, 2.7774, 0.77475, 0.0089445, 6.168, 0.79859, 0.021532, 4.4725, 1.3721, 0.057749, -0.0090728, 1.0051, 1.5074, 0.20052, 0.22593, 2.6084, 2.7751, 0.77467, 0.0089351, 2.7556, 0.79792, 0.015776, 2.862, 0.58494, 0.057738, 0.65182, 1.0051, 1.5076, 0.34913, 0.22631, 2.6095, 2.7797, 0.77484, 0.0089538, 9.5805, 0.79925, 0.027287, 6.0829, 2.1593, 0.05776, 0.04036, 2.8484e-11, 3.0606e-09, 0.0020407, 1.3202e-08, 1.1835e-07, 1.9364e-06, 2.6232e-09, 3.2534e-11, 4.3041, 1.6401e-07, 1.2245e-05, 0.95865, 0.22902, 4.4286e-11, -0.17077, 0.91428, 0.89035, 0.057119, 0.0039248, -0.44576, -0.66273, 0.4221, -0.0055191, 2.362, 0.13325, -0.0031203, 2.1953, 0.11892, 0.032687, 0.81352, 1.0958, 2.1247, 0.49253, 0.44832, 5.6636, 6.2175, 1.1274, 0.023408, 9.974, 1.4639, 0.046184, 6.7496, 2.6253, 0.082811, 0.089523, 0.0030462, 0.14079, 0.017518, 0.018249, 3.4489, 4.3741, 0.045966, 7.7321e-05, 5.3541, 0.16362, 0.00022462, 1.9166, 0.58046, 0.00023215
7, 2, 0.45152, 0.01791, 0, 3.6667, 1.6696, 0.20329, 1.0274, 1.4025, 0.1762, 0.09344, 3.056, 0.78372, 0.79487, 5e-05, 8.3204, 1.1808, 0.02177, 1.2557, 0.77889, 0.04754, 0.22327, 1.0433, 1.3184, 0.14515, 0.16633, 3.5424, 2.3775, 0.86357, 0.0078439, 6.5854, 0.8719, 0.028073, 2.4613, 1.5554, 0.046669, -0.27198, 1.0433, 1.3183, 0.05378, 0.16614, 3.5418, 2.3752, 0.86348, 0.0078345, 2.6499, 0.87124, 0.022173, 0.61346, 0.49954, 0.046658, 0.71853, 1.0433, 1.3185, 0.23653, 0.16652, 3.543, 2.3798, 0.86365, 0.0078532, 10.521, 0.87257, 0.033974, 4.3091, 2.6113, 0.04668, 0.090657, 2.8484e-11, 3.0606e-09, 0.003086, 1.3202e-08, 1.1835e-07, 1.9364e-06, 2.6232e-09, 3.2534e-11, 5.7247, 1.6401e-07, 1.287e-05, 1.262, 0.41207, 4.4286e-11, -0.38859, 0.95253, 0.70124, -0.078953, -0.11103, 0.4877, -0.64043, 0.51092, -0.0066197, 2.3332, -0.031568, 0.0033871, 0.022276, 0.11044, 0.021607, 0.83514, 1.1341, 1.9356, 0.36926, 0.44368, 6.5971, 5.3954, 1.2162, 0.022307, 10.838, 1.7754, 0.05276, 4.9003, 3.0004, 0.071731, 0.13838, 0.0030462, 0.14079, 0.018563, 0.028433, 3.4489, 3.3664, 0.045966, 7.7321e-05, 6.6828, 0.3017, 0.00022524, 2.1987, 0.77174, 0.00023215
8, 3.2222, 0.39456, 0.02712, 0.28366, 5.3474, 1.1459, 0.63332, 1.0605, 0.80239, 0.49119, 0.1134, 3.0095, 0.89656, 0.71427, 0.00498, 4.3114, 1.641, 0.01965, 1.0031, 1.9897, 0.05774, 0.61836, 1.0272, 1.5968, 0.47818, 0.20577, 2.6488, 1.9323, 0.78421, 0.008415, 6.3927, 0.66518, 0.021155, 2.2346, 1.5929, 0.05379, 0.42785, 1.0272, 1.5968, 0.37435, 0.20558, 2.6482, 1.93, 0.78412, 0.0084057, 4.188, 0.66452, 0.01523, 1.2557, 0.73775, 0.053779, 0.80887, 1.0273, 1.5969, 0.582, 0.20596, 2.6493, 1.9346, 0.78429, 0.0084244, 8.5973, 0.66585, 0.02708, 3.2134, 2.448, 0.053801, 0.013414, 2.8484e-11, 3.0606e-09, 0.0039842, 1.3202e-08, 1.1835e-07, 1.9364e-06, 2.6232e-09, 3.2534e-11, 1.7965, 1.6401e-07, 1.2974e-05, 0.35415, 0.27029, 4.4286e-11, 0.35588, 0.93646, 0.97968, 0.24871, -0.072196, -0.40593, -1.0847, 0.43155, -0.0060322, 3.6628, -0.23855, -0.003537, 0.87651, -0.30711, 0.028728, 0.88084, 1.118, 2.214, 0.70764, 0.48373, 5.7035, 4.9492, 1.1369, 0.022862, 9.1226, 1.5689, 0.045847, 3.5926, 3.4929, 0.078852, 0.025465, 0.0030462, 0.14079, 0.019462, 0.028557, 3.4489, 3.3642, 0.045966, 7.7146e-05, 2.7544, 0.30188, 0.00022535, 0.68169, 1.3343, 0.00023215
9, 1.4984, 0.37675, 0.01222, 0.10354, 5.8333, 2.2134, 0.20309, 1.0727, 0.90803, 0.16488, 0.24723, 3.6461, 3.7001, 0.84247, 0.03474, 0.51528, 0.25225, 0.0357, 2.3685, 0.35004, 0.03355, 0.80506, 1.0645, 1.2462, 0.24433, 0.19949, 4.2925, 2.3317, 0.8022, 0.0077114, 2.5969, 0.86278, 0.03304, 3.1256, 1.7091, 0.042258, -0.07296, 1.0645, 1.2462, 0.1266, 0.1993, 4.2919, 2.3294, 0.80211, 0.007702, -4.8332, 0.86211, 0.02686, 0.45554, 0.14717, 0.042247, 1.6831, 1.0645, 1.2463, 0.36206, 0.19968, 4.2931, 2.334, 0.80228, 0.0077208, 10.027, 0.86345, 0.03922, 5.7956, 3.2709, 0.042269, 0.28494, 2.8484e-11, 3.0606e-09, 0.0051228, 1.3202e-08, 1.1835e-07, 1.9364e-06, 2.6232e-09, 3.2534e-11, 20.405, 1.6401e-07, 1.4116e-05, 2.635, 0.90166, 4.4286e-11, -0.14364, 0.97371, 0.62907, 0.0082504, -0.030591, 1.2378, -0.99933, 0.44954, -0.0067522, -5.0179, 0.1552, 0.0082858, 0.01698, -0.13826, 0.017196, 1.7538, 1.1553, 1.8634, 0.48042, 0.42957, 7.3472, 5.6627, 1.1548, 0.022175, 10.212, 1.5704, 0.057795, 6.2342, 3.5564, 0.06732, 0.33266, 0.0030462, 0.14079, 0.0206, 0.019566, 3.4489, 4.1011, 0.045966, 7.7321e-05, 21.432, 0.18505, 0.00022649, 3.5717, 1.2613, 0.00023215
10, 1.0909, 0.3282, 0.05011, 0.11986, 1.3889, 1.4271, 0.58651, 1.0295, 1.0921, 0.22082, 0.14672, 1.7562, 1.3135, 0.71944, 0.00089, 2.2154, 0.77883, 0.03284, 7.5943, 0.24783, 0.05328, 0.4336, 1.0491, 1.2461, 0.19345, 0.27839, 2.6937, 1.7715, 0.77983, 0.0076225, 5.6782, 0.91551, 0.024704, 3.8814, 1.6482, 0.055484, 0.0030318, 1.0491, 1.246, 0.07994, 0.2782, 2.6931, 1.7692, 0.77974, 0.0076131, -0.83174, 0.91484, 0.018618, 1.4826, 0.42938, 0.055474, 0.86417, 1.0491, 1.2462, 0.30695, 0.27858, 2.6943, 1.7738, 0.77991, 0.0076318, 12.188, 0.91618, 0.030789, 6.2802, 2.867, 0.055495, 0.068521, 2.8484e-11, 3.0606e-09, 0.0047619, 1.3202e-08, 1.1835e-07, 1.9364e-06, 2.6232e-09, 3.2534e-11, 15.664, 1.6401e-07, 1.3688e-05, 2.1268, 0.54904, 4.4286e-11, -0.1272, 0.95836, 0.6289, -0.040559, -0.071837, -0.361, -0.55546, 0.42718, -0.0068411, -0.99691, -0.39299, -2.7363e-05, 1.0025, 0.080202, 0.030423, 0.99439, 1.1399, 1.8632, 0.42745, 0.62861, 5.7484, 4.0985, 1.1325, 0.022086, 12.353, 2.224, 0.049435, 6.7604, 3.2162, 0.080546, 0.11624, 0.0030462, 0.14079, 0.020239, 0.045336, 3.4489, 2.0014, 0.045966, 7.7321e-05, 16.469, 0.63284, 0.00022606, 3.0635, 0.90871, 0.00023215
11, 1.0909, 0.51623, 0.02628, 0, 2.7778, 2.9346, 1.1927, 0.90051, 1.8917, 0.60723, 0.59987, 9.4649, 8.8804, 0.16602, 0.00175, 0.03318, 0.80873, 0.01319, 3.7514, 1.3474, 0.09672, 0.54271, 1.0066, 1.2825, 0.16359, 0.25573, 5.1638, 4.512, 0.71534, 0.0059344, 5.9821, 0.98914, 0.033818, 4.0899, 1.0728, 0.042436, -0.1929, 1.0066, 1.2824, 0.0063478, 0.25554, 5.1632, 4.5097, 0.71525, 0.005925, -0.30911, 0.98848, 0.027719, 1.718, -0.039805, 0.042425, 1.2783, 1.0066, 1.2825, 0.32084, 0.25591, 5.1643, 4.5143, 0.71542, 0.0059437, 12.273, 0.98981, 0.039917, 6.4618, 2.1853, 0.042447, 0.2, 2.8484e-11, 3.0606e-09, 0.009139, 1.3202e-08, 1.1835e-07, 1.9364e-06, 2.6232e-09, 3.2534e-11, 14.629, 1.6401e-07, 1.3749e-05, 2.0793, 0.4575, 4.4286e-11, -0.27596, 0.91582, 0.66528, -0.094479, -0.02201, 2.1091, 1.4946, 0.36269, -0.0085292, -0.51185, 0.085531, 0.0090838, 1.2333, -0.41415, 0.017374, 1.3614, 1.0974, 1.8996, 0.42166, 0.53346, 8.2185, 7.5294, 1.068, 0.020398, 12.476, 1.8928, 0.058552, 6.9465, 2.5597, 0.067498, 0.24772, 0.0030462, 0.14079, 0.024616, 0.028511, 3.4489, 3.3652, 0.045966, 7.7321e-05, 15.587, 0.30179, 0.00022612, 3.016, 0.81717, 0.00023215
12, 1.0909, 0.51803, 0, 0.25225, 2, 3.5851, 0.7267, 0.96689, 1.1191, 0.29869, 0.2606, 2.737, 6.9372, 0.78436, 0.00176, 0.7303, 0.50897, 0.04638, 2.7797, 1.614, 0.03219, 1.0886, 0.96461, 1.5594, 0.38794, 0.31298, 5.255, 6.3405, 0.53515, 0.003275, -0.61048, 0.80955, 0.034828, 5.1496, 1.9314, 0.053549, 0.21498, 0.9646, 1.5593, 0.21225, 0.31279, 5.2545, 6.3382, 0.53507, 0.0032656, -7.8276, 0.80888, 0.028667, 2.5449, 0.46846, 0.053538, 1.9623, 0.96462, 1.5594, 0.56362, 0.31316, 5.2556, 6.3428, 0.53524, 0.0032843, 6.6066, 0.81021, 0.04099, 7.7544, 3.3944, 0.05356, 0.28212, 2.8484e-11, 3.0606e-09, 0.011408, 1.3203e-08, 1.1835e-07, 1.9364e-06, 2.6232e-09, 3.2534e-11, 19.252, 1.6401e-07, 1.4031e-05, 2.5077, 0.79107, 4.4286e-11, 0.14398, 0.87383, 0.94219, 0.11823, 0.035012, 2.2003, 3.3236, 0.1825, -0.011189, -8.0049, -0.094188, 0.010079, 2.0969, 0.16696, 0.028487, 2.0333, 1.0554, 2.1765, 0.65764, 0.59094, 8.3097, 9.3575, 0.8878, 0.017739, 6.784, 1.7133, 0.059578, 8.2023, 3.6959, 0.078611, 0.32984, 0.0030462, 0.14079, 0.026886, 0.028558, 3.4489, 3.3642, 0.045966, 7.7321e-05, 20.21, 0.30188, 0.00022641, 3.4444, 1.1507, 0.00023215
13, 2, 0.23049, 0.00454, 0.0024, 3.4558, 1.0966, 0.21195, 1.0918, 1.2928, 0.3173, 0.19726, 0.69045, 0.08094, 0.78845, 0.00019, 8.1903, 1.4205, 0.01604, 2.607, 3.0047, 0.04762, 0.21657, 1.0493, 1.2714, 0.23219, 0.22143, 2.8855, 1.589, 0.80814, 0.013083, 3.1424, 0.8814, 0.02378, 1.6827, 0.90335, 0.051444, -0.083906, 1.0493, 1.2713, 0.12975, 0.22124, 2.885, 1.5867, 0.80806, 0.013074, 0.48178, 0.88073, 0.017874, 0.19447, 0.11417, 0.051433, 0.51705, 1.0493, 1.2715, 0.33462, 0.22162, 2.8861, 1.5913, 0.80823, 0.013092, 5.8029, 0.88207, 0.029686, 3.171, 1.6925, 0.051455, 0.033371, 2.8484e-11, 3.0606e-09, 0.0038782, 1.3202e-08, 1.1835e-07, 1.9364e-06, 2.6232e-09, 3.2534e-11, 2.6164, 1.6401e-07, 1.2892e-05, 0.81867, 0.2302, 4.4286e-11, -0.25182, 0.95853, 0.65424, 0.0033474, -0.056184, -0.16917, -1.4286, 0.45549, -0.0013806, 0.032566, -0.022152, -0.0009075, -0.49653, -0.35994, 0.026382, 0.68497, 1.1401, 1.8886, 0.46103, 0.49905, 5.9402, 4.6067, 1.1608, 0.027547, 6.2521, 1.785, 0.048467, 3.862, 2.1666, 0.076506, 0.08109, 0.0030462, 0.14079, 0.019356, 0.028486, 3.4489, 3.3657, 0.045966, 7.7321e-05, 3.5744, 0.30175, 0.00022527, 1.7554, 0.58986, 0.00023215
14, 2, 0.14601, 0.0389, 0.19249, 1.3281, 0.83741, 0.53676, 0.97922, 1.3901, 0.51401, 0.56997, 0.25885, 0.45564, 0.22664, 0.02041, 0.41249, 0.19998, 0.01, 7.2552, 0.45812, 0.05132, 0.84827, 1.0124, 1.4038, 0.42308, 0.36163, 2.0962, 1.8762, 0.65015, 0.013626, -1.0091, 0.8597, 0.017536, 3.8686, 0.27195, 0.062289, 0.49793, 1.0124, 1.4037, 0.30174, 0.36144, 2.0956, 1.8739, 0.65006, 0.013617, -5.4306, 0.85903, 0.011607, 1.9472, -0.53518, 0.062278, 1.1986, 1.0124, 1.4039, 0.54443, 0.36182, 2.0968, 1.8785, 0.65023, 0.013636, 3.4123, 0.86036, 0.023464, 5.79, 1.0791, 0.0623, 0.045364, 2.8484e-11, 3.0606e-09, 0.005442, 1.3202e-08, 1.1835e-07, 1.9364e-06, 2.6232e-09, 3.2534e-11, 7.2256, 1.6401e-07, 1.2989e-05, 1.3645, 0.24079, 4.4286e-11, 0.34643, 0.92161, 0.78663, 0.18518, 0.083578, -0.95849, -1.1407, 0.2975, -0.00083728, -5.7145, -0.044089, -0.0071571, 1.3734, -1.0026, 0.037227, 1.3501, 1.1032, 2.021, 0.66099, 0.63969, 5.1509, 4.893, 1.0028, 0.02809, 3.6963, 1.7635, 0.042228, 6.3638, 1.5465, 0.087351, 0.093083, 0.0030462, 0.14079, 0.020919, 0.028576, 3.4489, 3.3639, 0.045966, 7.7321e-05, 8.1836, 0.30191, 0.00022536, 2.3012, 0.60046, 0.00023215
15, 2.5783, 0.15178, 0.02408, 0, 2.3519, 0.45835, 0.26919, 1.084, 1.4742, 0.28675, 0.30692, 0.56337, 1.1756, 0.89418, 0.01149, 3.6797, 0.50204, 0.00545, 2.6292, 0.47964, 0.03537, 0.59361, 1.0222, 1.334, 0.30363, 0.28757, 2.2159, 1.3421, 0.75687, 0.016681, 2.9404, 0.91126, 0.016366, 2.7126, 0.24055, 0.055578, -0.0062275, 1.0222, 1.3339, 0.17559, 0.28738, 2.2153, 1.3399, 0.75679, 0.016671, -4.1231, 0.9106, 0.010236, 0.14626, -1.1351, 0.055567, 1.1934, 1.0222, 1.3341, 0.43167, 0.28776, 2.2164, 1.3444, 0.75696, 0.01669, 10.004, 0.91193, 0.022495, 5.2789, 1.6162, 0.055589, 0.13299, 2.8484e-11, 3.0606e-09, 0.0060594, 1.3202e-08, 1.1835e-07, 1.9364e-06, 2.6232e-09, 3.2534e-11, 18.441, 1.6401e-07, 1.3886e-05, 2.4342, 0.69943, 4.4286e-11, -0.10615, 0.93144, 0.71684, 0.062239, 0.0097074, -0.83882, -1.6751, 0.40422, 0.0022173, -4.3042, 0.0075941, -0.0083763, -0.30944, -1.4508, 0.030516, 1.2934, 1.113, 1.9512, 0.54502, 0.56543, 5.2706, 4.3593, 1.1095, 0.031144, 10.185, 1.8149, 0.041107, 5.7346, 1.9319, 0.08064, 0.18098, 0.0030462, 0.14079, 0.021537, 0.028536, 3.4489, 3.3647, 0.045966, 7.7321e-05, 19.399, 0.30183, 0.00022626, 3.3755, 1.0574, 0.00023215
16, 2, 0.3285, 0.05022, 0.15301, 1.5151, 0.98508, 0.2512, 1.0703, 1.9631, 0.1836, 0.13901, 1.6749, 2.4542, 0.92403, 0.00095, 2.2387, 0.05425, 0.04783, 3.9475, 0.49555, 0.04296, 0.81255, 1.0279, 1.3933, 0.32464, 0.27642, 2.2071, 1.7535, 0.77054, 0.0091416, 3.4019, 0.8481, 0.019774, 3.0754, 0.56991, 0.058422, 0.58186, 1.0279, 1.3932, 0.24366, 0.27623, 2.2065, 1.7512, 0.77045, 0.0091322, 0.62021, 0.84743, 0.014165, 1.6821, -0.00084232, 0.058411, 1.0432, 1.0279, 1.3934, 0.40562, 0.27661, 2.2076, 1.7558, 0.77062, 0.0091509, 6.1835, 0.84877, 0.025382, 4.4687, 1.1407, 0.058433, 0.019669, 2.8484e-11, 3.0606e-09, 0.0024239, 1.3202e-08, 1.1835e-07, 1.9364e-06, 2.6232e-09, 3.2534e-11, 2.8599, 1.6401e-07, 1.1626e-05, 0.71755, 0.1204, 4.4286e-11, 0.38556, 0.93712, 0.7761, 0.10457, -0.026408, -0.84761, -1.1644, 0.41789, -0.005322, 0.19687, -0.099782, -0.0048442, 0.95981, -0.56976, 0.03336, 1.2395, 1.1187, 2.0104, 0.54472, 0.57925, 5.2618, 4.6714, 1.1232, 0.023605, 6.6068, 1.796, 0.044392, 5.191, 1.7096, 0.083484, 0.067388, 0.0030462, 0.14079, 0.017901, 0.033895, 3.4489, 3.1469, 0.045966, 7.7321e-05, 3.7966, 0.33209, 0.000224, 1.6543, 0.48007, 0.00023215
