% ar lrr srr alr sdr smr
2.00000 0.09264 0.06110 0.34991 1.33333 0.66775
1.99125 0.26268 0.05645 0.15009 1.05263 0.66684
2.85714 0.31616 0.03225 0.00000 2.50000 1.03237
2.50000 0.13114 0.04582 0.25389 0.97222 0.73611
6.01316 0.26546 0.04042 0.06850 0.93291 0.32500
7.63780 0.10199 0.00844 0.33950 6.04762 0.45183
4.70000 0.39202 0.08776 0.23073 1.91919 0.48658
2.00000 0.13709 0.04021 0.20759 1.77966 0.55401
4.70000 0.39202 0.08935 0.46170 2.66667 0.50219
1.99125 0.72035 0.17202 0.33339 0.52493 0.68114
3.00493 0.29103 0.12422 0.00000 1.33684 0.34018
4.00000 0.17018 0.08639 0.70000 1.33333 0.39950
5.33333 0.34261 0.05169 0.04120 1.33684 0.36861
4.00000 0.18328 0.06227 0.70000 1.60417 0.48987
6.55738 0.11795 0.07931 0.39409 0.88496 0.25190
3.75000 0.72522 0.11557 0.24120 0.99099 0.57057
3.00493 0.16297 0.06867 0.10201 1.35439 0.43383
2.00000 0.24182 0.10498 0.73674 0.57292 0.43928
4.00000 0.17869 0.16747 0.70000 0.72222 0.25693
3.00000 0.19901 0.07594 0.10000 1.52778 0.42467
4.69809 0.13859 0.04387 0.00000 0.84667 0.19799
4.56000 0.32421 0.04323 0.30000 2.08333 0.78689
2.50000 0.13114 0.04582 0.42293 0.97222 0.80039
7.50000 0.72522 0.11557 0.24120 0.99099 0.28911
3.00000 0.26774 0.04855 0.04287 1.12281 0.50411
4.00000 0.22305 0.06497 0.07227 0.82812 0.30042
3.91667 0.12699 0.06402 0.00000 1.32292 0.22169
5.99902 0.24413 0.00896 0.18697 3.30729 0.64610
3.91667 0.12293 0.04813 0.00000 1.32292 0.27548
3.82787 0.35472 0.05462 0.23244 2.30556 0.72960
2.50000 0.47946 0.05863 0.19988 0.83333 0.85669
3.50000 0.41773 0.10888 0.11117 1.37566 0.51192
4.69809 0.15862 0.04387 0.10290 0.84667 0.31020
3.00000 0.21736 0.06894 0.10552 1.51515 0.47661
3.00493 0.28950 0.12357 0.36241 1.33684 0.48702
2.50000 0.17720 0.14937 0.62894 0.97222 0.42492
3.91667 0.13352 0.06831 0.19994 1.98438 0.39616
4.56000 0.08105 0.08646 0.20000 1.04167 0.23453
6.55738 0.11106 0.03446 0.37104 1.91740 0.41066
2.50000 0.13114 0.11054 0.25389 0.97222 0.42379
2.50000 0.17720 0.06191 0.62894 0.97222 0.71036
4.00000 0.23445 0.11054 0.22306 1.95000 0.34281
6.55738 0.10461 0.15315 0.41232 0.81121 0.14960
6.58000 0.15255 0.07488 0.41875 0.73746 0.21669
6.58000 0.15255 0.07854 0.41875 1.11111 0.20921
4.56000 0.08105 0.08646 0.30000 1.04167 0.27718
2.00000 0.06200 0.09678 0.59912 1.47059 0.51595
2.50000 0.13114 0.11054 0.42293 0.97222 0.48267
3.00000 0.34793 0.07308 0.09056 0.66146 0.50163
3.00493 0.16840 0.07188 0.21080 1.33684 0.50631
6.22150 0.11341 0.01519 0.05049 2.08333 0.28018
3.60039 0.00000 0.00000 0.11998 1.25000 0.59586
2.00000 0.35329 0.12544 0.20759 0.78652 0.49800
4.70000 0.39202 0.17869 0.46170 1.33333 0.30439
4.00000 0.14463 0.03544 0.10000 2.02381 0.48658
4.56000 0.08105 0.08646 0.30000 1.04167 0.27718
4.70000 0.32220 0.17869 0.45618 1.33333 0.27337
2.50000 0.17720 0.06191 0.39994 0.97222 0.73215
3.00219 0.21409 0.08002 0.31039 1.78947 0.54525
2.18182 0.16255 0.08371 0.21400 1.04167 0.52392
4.49836 0.33805 0.06971 0.10139 0.79167 0.36058
4.00000 0.27284 0.15335 0.38003 1.38889 0.31767
3.00000 0.37842 0.12808 0.21077 0.48387 0.37332
3.00493 0.23387 0.07719 0.14319 1.33684 0.52201
6.55738 0.10490 0.07474 0.41345 0.88496 0.25882
4.00000 0.20693 0.04168 0.03201 1.85185 0.45290
4.49836 0.33805 0.06971 0.10139 0.79167 0.36058
1.50000 0.08881 0.13334 0.14145 0.93633 0.26750
4.00000 0.44611 0.06497 0.07227 0.82812 0.53178
4.49836 0.27827 0.05739 0.09264 0.79167 0.36082
3.00493 0.16268 0.06944 0.10201 1.33684 0.42998
3.00219 0.21681 0.10674 0.20590 1.33858 0.41882
4.56000 0.08105 0.04323 0.20000 2.08333 0.37977
2.00000 0.06200 0.15337 0.34970 1.17187 0.35343
3.50000 0.40492 0.10976 0.21552 1.32275 0.53125
3.00000 0.27345 0.03343 0.04505 1.70175 0.64253
5.49508 0.18313 0.04428 0.26576 2.22807 0.41515
3.00493 0.29001 0.12220 0.36241 1.35439 0.49120
2.00000 0.06200 0.15337 0.59912 1.17187 0.38897
4.69809 0.13859 0.04387 0.10290 0.84667 0.28552
4.56000 0.08105 0.04323 0.30000 2.08333 0.43786
2.00000 0.41081 0.05307 0.38993 1.00000 0.92872
2.50000 0.17720 0.14937 0.39994 0.97222 0.41986
4.56250 0.14721 0.04663 0.00000 1.17778 0.19263
3.00493 0.23427 0.07638 0.14319 1.35439 0.52635
2.00000 0.14601 0.09329 0.09624 0.91398 0.43886
6.55738 0.10470 0.08380 0.50605 0.88496 0.24638
4.49836 0.33805 0.06971 0.10139 0.79167 0.36058
4.70000 0.41303 0.17869 0.46170 1.33333 0.31366
4.69809 0.15408 0.04401 0.00000 0.89123 0.21726
6.55738 0.12218 0.03547 0.13607 1.91740 0.31909
2.00000 0.09264 0.02190 0.34991 1.81818 0.97622
2.85714 0.43878 0.13183 0.15306 0.83333 0.56356
4.70000 0.39202 0.08776 0.46170 1.91919 0.50804
6.58000 0.15255 0.07854 0.20938 1.11111 0.17345
4.69809 0.16327 0.04387 0.10290 0.84667 0.31592
3.75000 0.72522 0.11557 0.35142 0.99099 0.57282
4.56000 0.32421 0.04323 0.20000 2.08333 0.76092
2.50000 0.29820 0.06484 0.30000 1.66667 0.79933
2.00000 0.23842 0.10557 0.19966 0.91398 0.62467
2.85714 0.35920 0.09246 0.12559 1.69271 0.62444
4.00000 0.16546 0.09921 0.38996 1.53333 0.36631
3.00493 0.16230 0.05357 0.04951 1.33684 0.45659
5.33333 0.35833 0.05406 0.04308 1.33684 0.37016
4.49836 0.31474 0.06490 0.09439 0.79167 0.35916
1.63636 0.47111 0.07152 0.00000 0.97222 1.02204
4.70000 0.26135 0.13402 0.42785 1.33333 0.30527
2.25000 0.32819 0.06546 0.08496 2.01587 0.80617
1.63636 0.50326 0.07640 0.12354 0.97222 1.04876
4.00000 0.17434 0.05630 0.50000 1.68750 0.54520
4.49836 0.28084 0.05792 0.09349 0.79167 0.36102
8.00000 0.43305 0.03016 0.27129 1.32812 0.46337
4.00000 0.26710 0.04197 0.13674 2.25000 0.51118
5.49508 0.18658 0.04293 0.27077 2.22807 0.42595
2.00000 0.06200 0.19719 0.34970 0.91146 0.29321
6.58000 0.21123 0.10368 0.31341 0.73746 0.17716
4.56000 0.08105 0.02882 0.20000 3.12500 0.47855
2.18182 0.47720 0.03381 0.23429 2.08333 1.18398
3.00000 0.24453 0.05395 0.11871 1.51515 0.59776
2.00000 0.14601 0.09329 0.19249 0.91398 0.52222
5.49508 0.19140 0.07359 0.27776 1.33333 0.31530
4.00000 0.29084 0.13792 0.19995 1.11111 0.32020
4.56000 0.08105 0.04323 0.30000 2.08333 0.43786
2.97333 0.30271 0.12022 0.10006 1.11111 0.41343
2.00000 0.09264 0.04073 0.34991 2.00000 0.79893
4.70000 0.26135 0.06701 0.42785 2.66667 0.48527
2.00000 0.23842 0.10557 0.09973 0.91398 0.55989
2.25000 0.30385 0.06060 0.15791 2.01587 0.83622
4.00000 0.29084 0.13792 0.19995 1.11111 0.32020
2.00000 0.16718 0.11289 0.56689 1.31234 0.52876
2.25000 0.34455 0.13744 0.08920 1.00794 0.51293
4.00000 0.22752 0.02783 0.52760 1.75000 0.66824
6.03934 0.11432 0.06320 0.45002 1.38643 0.32467
4.00000 0.20693 0.04168 0.03201 1.85185 0.45290
4.56000 0.08105 0.04323 0.20000 2.08333 0.37977
4.00000 0.25756 0.09774 0.21000 1.50000 0.38708
3.00493 0.16230 0.05357 0.04951 1.33684 0.45659
3.00000 0.35974 0.12176 0.20036 0.48387 0.37378
3.00000 0.35826 0.12126 0.10019 0.48387 0.34299
4.00000 0.18588 0.05414 0.12047 0.82812 0.33729
4.00000 0.29084 0.13792 0.19995 1.11111 0.32020
3.00658 0.27707 0.08854 0.07150 0.47120 0.35285
4.00000 0.23335 0.05971 0.73864 0.95000 0.41217
2.25000 0.40365 0.10725 0.10450 1.51323 0.69031
2.85714 0.37557 0.09667 0.13131 1.69271 0.62603
6.58000 0.15255 0.05183 0.41875 1.04167 0.27964
4.00000 0.17869 0.02857 0.50000 2.66667 0.74816
3.91667 0.14201 0.10898 0.20001 1.32292 0.28418
6.00000 0.34416 0.06131 0.09624 0.86420 0.29775
4.70000 0.41303 0.08776 0.46170 1.91919 0.52352
2.18182 0.28637 0.16597 0.59996 0.86111 0.46736
4.56000 0.32421 0.04323 0.20000 2.08333 0.76092
